Team,Quality,Player_Count,Quality_Z,Normalized_Quality
OKC,39.19183839036923,19,2.1547939184760057,0.9844110178169116
GSW,31.212014391495558,22,1.7441731210642621,0.9594355466109316
HOU,24.012380000975114,19,1.3736988330441515,0.9152324003320722
DEN,24.01113660101836,17,1.3736348509460732,0.9152224641336278
SAS,21.079871762581057,19,1.2227996563911532,0.8892973123568453
CLE,20.606328997830936,21,1.1984323886797723,0.884625635149205
BOS,19.495759078497414,18,1.1412853756726442,0.8731244070515052
POR,12.093808627591937,20,0.7604004342275668,0.7764923680910816
NYK,9.328108950416404,23,0.6180847882930808,0.7317402754810247
MIN,8.801521710312768,19,0.5909879911119996,0.7227357663460621
DET,3.7079280206242284,21,0.32888502958721577,0.6288787049472451
ORL,3.618058880106238,18,0.32426059950612457,0.6271296267463169
PHX,-0.6442368929559565,21,0.10493404676679903,0.5417859286591541
MIA,-2.507667127390275,22,0.009046818064440125,0.503609108997733
ATL,-3.9987621085115244,23,-0.06768101581398586,0.47301978091971675
MEM,-5.204451060720015,21,-0.12972260458289345,0.4483929489054434
LAC,-9.299336244107417,21,-0.34043464779956084,0.3667646150126206
IND,-14.048678066883607,25,-0.5848233118508688,0.2793332638901803
CHI,-14.889843816787693,21,-0.6281074934355522,0.2649667622697455
TOR,-18.383168674783967,24,-0.8078648212928033,0.2095842022558791
NOP,-18.738317908576672,23,-0.8261398686623586,0.20436237692247738
DAL,-19.466740274740914,24,-0.8636225716504355,0.1938976302545955
MIL,-19.658984738380724,21,-0.8735149671429819,0.1911912259155591
LAL,-19.904560505773915,25,-0.886151651541814,0.1877679064587277
WAS,-20.83647895370919,22,-0.934105728758042,0.17512467857449865
CHA,-21.745704573221857,26,-0.9808920925881434,0.16332297865653356
PHI,-23.445516307284755,27,-1.0683599427298587,0.14267908943232493
BKN,-25.926510781789215,23,-1.1960254062336833,0.11584332237604766
SAC,-26.11679932815688,23,-1.2058171553573283,0.1139439996228443
UTA,-32.84736838255814,18,-1.5521545723909793,0.06031262139713911
